1000,0.00027814495855640116
3000,0.0001599063296402726
5000,8.805288525349412e-05
7000,6.831376529019139e-05
9000,5.28514498092264e-05
11000,4.071000038013974e-05
13000,3.500560756724159e-05
15000,3.0572566899208306e-05
17000,2.673267156061691e-05
19000,2.4082097511868115e-05
21000,2.4070773563451412e-05
23000,2.0206659887678015e-05
25000,1.8944377148823877e-05
27000,1.7005768007956656e-05
29000,1.5836991464971445e-05
31000,1.5381265712653273e-05
33000,1.4735479518834601e-05
35000,1.3136737611645222e-05
37000,1.2512414829325204e-05
39000,1.177146127573911e-05
41000,1.105783048040531e-05
43000,1.0360792714095126e-05
45000,1.0579682668728687e-05
47000,9.866496948188815e-06
49000,9.464745518442432e-06
51000,8.908637065643282e-06
53000,8.636565998675596e-06
55000,8.359926055915918e-06
57000,8.547491136561709e-06
59000,7.674880411245945e-06
61000,7.697861249971035e-06
63000,7.527074235663634e-06
65000,7.443222941141286e-06
67000,7.163478002032189e-06
69000,6.6079608663413265e-06
71000,6.648258915670492e-06
73000,6.563706472847978e-06
75000,6.31340761729401e-06
77000,6.063053231310037e-06
79000,6.013706963211419e-06
81000,5.7908353593557205e-06
83000,5.661452331852619e-06
85000,5.386533114379729e-06
87000,5.490427977405207e-06
89000,5.278982368589317e-06
91000,5.036103203404767e-06
93000,5.063671396335839e-06
95000,4.829497328168114e-06
97000,5.0052137513349985e-06
99000,4.557535698832124e-06
