1000,6
6000,6
11000,8
16000,9
21000,8
26000,8
31000,8
36000,8
41000,8
46000,9
51000,8
56000,8
61000,8
66000,10
71000,8
76000,8
81000,10
86000,8
91000,8
96000,8
101000,8
106000,8
111000,8
116000,8
121000,8
126000,8
131000,8
136000,8
141000,8
146000,10
151000,9
156000,9
161000,10
166000,10
171000,8
176000,8
181000,8
186000,10
191000,9
196000,10
201000,8
206000,8
211000,8
216000,9
221000,8
226000,9
231000,10
236000,9
241000,8
246000,9
251000,10
256000,10
261000,10
266000,8
271000,10
276000,8
281000,10
286000,8
291000,10
